aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments
68,68,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΦΟΛΕΓΑΝΔΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,Φολέγανδρος,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Φολέγανδρος,84011,2286027180,2286027170,k.folegandrou@kep.gov.gr,
69,69,ΚΕΠ ΔΗΜΟΥ ΑΓΙΑΣΟΥ Ν. ΛΕΣΒΟΥ,ΑΓΙΑΣΟΣ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΑΓΙΑΣΟΣ,81101,2252023200,2252023200,d.agiasou@kep.gov.gr,
70,70,ΚΕΠ ΔΗΜΟΥ ΑΓ ΠΑΡΑΣΚΕΥΗΣ Ν. ΛΕΣΒΟΥ,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΛΕΣΒΟΥ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΛΕΣΒΟΥ -,81102,2253350508 2253350500,2253350509,d.agparaskevis-lesvou@kep.gov.gr,
71,71,ΚΕΠ ΔΗΜΟΥ ΓΕΡΑΣ Ν. ΛΕΣΒΟΥ,Παπάδος Λέσβου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Παπάδος Γέρας Λέσβου,81106,2251084561,2251084626,d.geras@kep.gov.gr,
72,72,ΚΕΠ ΔΗΜΟΥ ΕΡΕΣΟΥ - ΑΝΤΙΣΣΗΣ ΜΕ ΕΝΑ ΠΑΡΑΡΤΗΜΑ Ν. ΛΕΣΒΟΥ,Ερεσός Λέσβου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Ερεσσός Λέσβου,81105,2253053600,2253052066,d.eresou@kep.gov.gr,
73,73,ΚΕΠ ΔΗΜΟΥ ΕΥΕΡΓΕΤΟΥΛΑ Ν. ΛΕΣΒΟΥ,"Συκούντα, Αγιάσος",ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,"Συκούντα, Αγιάσος",81101,2251093045,2251093045,d.evergetoula@kep.gov.gr,
74,74,ΚΕΠ ΔΗΜΟΥ ΚΑΛΛΟΝΗΣ Ν. ΛΕΣΒΟΥ,Καλλονή Λέσβου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΠ Καλλονής Λέσβου,81107,2253029930,2253029929,d.kallonis@kep.gov.gr,
75,75,ΚΕΠ ΔΗΜΟΥ ΜΑΝΤΑΜΑΔΟΥ Ν. ΛΕΣΒΟΥ,,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Μανταμάδος,81104,2253061201,2253061201,d.mantamadou@kep.gov.gr,
76,76,ΚΕΠ ΔΗΜΟΥ ΠΕΤΡΑΣ Ν. ΛΕΣΒΟΥ,Πέτρα Λέσβου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Πέτρα Λέσβου,81109,2253042210,2253041235,d.petras-lesvou@kep.gov.gr,
77,77,ΚΕΠ ΔΗΜΟΥ ΠΛΩΜΑΡΙΟΥ Ν. ΛΕΣΒΟΥ,Πλωμάρι,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Πλ. Βενιανίμ Λεσβίου -,81200,2252033740,2252033019,d.plomariou@kep.gov.gr,
78,78,ΚΕΠ ΔΗΜΟΥ ΠΟΛΙΧΝΙΤΟΥ Ν. ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΣ ΛΕΣΒΟΣ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Κ. Δεληγιάννη 22,81300,2252041212 2252042800,2252042800,d.polihnitou@kep.gov.gr,
79,79,ΚΕΠ ΔΗΜΟΥ ΜΥΡΙΝΑΣ Ν. ΛΕΣΒΟΥ,Μύρινα - Λήμνος,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Αρβανιτάκη 20,81400,2254026020,2254024987,d.myrinas@kep.gov.gr,
80,80,ΚΕΠ ΔΗΜΟΥ ΜΟΥΔΡΟΥ Ν. ΛΕΣΒΟΥ,Κοντοπούλι-Λήμνου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Κοντοπούλι Λήμνου,81401,2254041278,2254041078,d.moudrou@kep.gov.gr,
81,81,ΚΕΠ ΔΗΜΟΥ ΝΕΑΣ ΚΟΥΤΑΛΗΣ Ν. ΛΕΣΒΟΥ,Κουτιάς Λήμνου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Κουτιάς Λήμνου,81400,2254051899,2254051899,d.neaskoutalis@kep.gov.gr,
82,82,ΚΕΠ ΔΗΜΟΥ ΑΤΣΙΚΗΣ Ν. ΛΕΣΒΟΥ,Λήμνος,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Ατσική Λήμνου,81401,2254031780,2254031780,d.atsikis@kep.gov.gr,
83,83,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ ΝΟΜΟΥ ΛΕΣΒΟΥ,Άγιος Ευστράτιος Ν. Λέσβου,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Άγιος Ευστράτιος,81500,2254093462,2254093462,k.ageystratiou@kep.gov.gr,
84,84,ΚΕΠ ΔΗΜΟΥ ΛΟΥΤΡΟΠΟΛΕΩΣ ΘΕΡΜΗΣ Ν. ΛΕΣΒΟΥ,ΛΟΥΤΡΟΠΟΛΗ ΘΕΡΜΗΣ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΟΥΤΡΟΠΟΛΗ ΘΕΡΜΗΣ,81100,2251071200,2251071122,d.loutropoleos@kep.gov.gr,
85,85,ΚΕΠ ΔΗΜΟΥ ΜΗΘΥΜΝΗΣ Ν. ΛΕΣΒΟΥ,ΜΗΘΥΜΝΑ-ΛΕΣΒΟΥ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΘΥΜΝΑ-ΛΕΣΒΟΥ,81108,2253072474,2253072475,d.mithimnas@kep.gov.gr,
86,86,ΚΕΠ ΔΗΜΟΥ ΙΩΝΙΑΣ Ν. ΧΙΟΥ,Χίος,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Καλλιμασιά -,82100,2271351526 2271351527 2271351528,2271351525,d.ionias@kep.gov.gr,
87,87,ΚΕΠ ΔΗΜΟΥ ΑΓ ΜΗΝΑ Ν. ΧΙΟΥ,ΘΥΜΙΑΝΑ,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,,82100,2271032778,-,d.agmina@kep.gov.gr,
88,88,ΚΕΠ ΔΗΜΟΥ ΟΜΗΡΟΥΠΟΛΗΣ Ν. ΧΙΟΥ,Χίος Χίος,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Παναγία Ερυθιανή,82200,2271093144,2271093190,d.omiroupolis@kep.gov.gr,
89,89,ΚΕΠ ΔΗΜΟΥ ΜΑΣΤΙΧΟΧΩΡΙΩΝ Ν. ΧΙΟΥ,Δήμος Μαστιχοχωρίων,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Πυργί -,82102,2271072893,2271072893,d.mastihohorion@kep.gov.gr,
90,90,ΚΕΠ ΔΗΜΟΥ ΟΙΝΟΥΣΣΩΝ Ν. ΧΙΟΥ,Οινούσσες Χίου,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Οινούσσες Χίου,82101,2271055723,2271055723,d.oinousson@kep.gov.gr,
91,91,ΚΕΠ ΔΗΜΟΥ ΚΑΜΠΟΧΩΡΩΝ Ν. ΧΙΟΥ,Δημος Καμποχώρων Λέσβου,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Δημαρχείο Καμποχώρων Χαλκείος -,82100,2271351614 2271351623 2271351622,2271078765,d.kampohoron@kep.gov.gr,
92,92,ΚΕΠ ΔΗΜΟΥ ΨΑΡΩΝ Ν. ΧΙΟΥ,Ψαρά Νομού Χίου,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Ψαρά,82104,2274061342,2274061341,d.psaron@kep.gov.gr,
93,93,ΚΕΠ ΔΗΜΟΥ ΑΜΑΝΗΣ Ν. ΧΙΟΥ,Χίος,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Βολισσός,82103,2274022000,2274022000,d.amanis@kep.gov.gr,
94,94,ΚΕΠ ΔΗΜΟΥ ΚΑΡΛΟΒΑΣΙΩΝ Ν. ΣΑΜΟΥ,Καρλόβασι Σάμου,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Νέο Καρλόβασι -,83200,2273350813 2273350814,2273350840,d.karlovasion@kep.gov.gr,
95,95,ΚΕΠ ΔΗΜΟΥ ΑΓ ΚΗΡΥΚΟΥ Ν. ΣΑΜΟΥ,ΑΓΙΟΣ ΚΗΡΥΚΟΣ,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΑΓΙΟΣ ΚΗΡΥΚΟΣ -,83300,2275350421 2275350422,2275022202,d.agkirikou@kep.gov.gr,
96,96,ΚΕΠ ΔΗΜΟΥ ΚΑΡΔΑΜΥΛΩΝ Ν. ΧΙΟΥ,ΜΑΡΜΑΡΟ ΚΑΡΔΑΜΥΛΩΝ,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΜΑΡΜΑΡΟ ΚΑΡΔΑΜΥΛΩΝ,82300,2272081060,2272081060,d.kardamilon@kep.gov.gr,
97,97,ΚΕΠ ΔΗΜΟΥ ΕΥΔΗΛΟΥ Ν. ΣΑΜΟΥ,Εύδηλος Ικαρίας,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Εύδηλος Ικαρίας,83302,2275032994,2275032995,d.evdilou@kep.gov.gr,
98,98,ΚΕΠ ΔΗΜΟΥ ΡΑΧΩΝ Ν. ΣΑΜΟΥ,Ράχες Ικαρίας,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Χριστός Ραχών Ικαρίας,83301,2275041611,2275041464,d.rahon@kep.gov.gr,
99,99,ΚΕΠ ΔΗΜΟΥ ΠΥΘΑΓΟΡΕΙΟΥ Ν. ΣΑΜΟΥ,ΔΗΜΟΤΙΚΟ ΚΤΙΡΙΟ ΧΩΡΑΣ Δ/Δ ΧΩΡΑΣ ΣΑΜΟΥ,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΔΗΜΟΤΙΚΟ ΚΤΙΡΙΟ ΧΩΡΑΣ Δ/Δ ΧΩΡΑΣ ΣΑΜΟΥ Τ.Θ. 87,83103,2273091784,2273091783,d.pythagoreiou@kep.gov.gr,
100,100,ΚΕΠ ΔΗΜΟΥ ΜΑΡΑΘΟΚΑΜΠΟΥ Ν. ΣΑΜΟΥ,Μαραθόκαμπος,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Μαραθόκαμπος -,83102,2273037500,2273037500,d.marathokampou@kep.gov.gr,
101,101,ΚΕΠ ΔΗΜΟΥ ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ Ν. ΣΑΜΟΥ,Νήσος Φούρνοι,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Φούρνοι Κορσέων -,83400,2275350614 2275350615 2275350616 2275051234,2275350617,d.fournon@kep.gov.gr,
102,102,ΚΕΠ ΔΗΜΟΥ ΧΙΟΥ Ν. ΧΙΟΥ,ΧΙΟΣ,ΝΟΜΟΣ ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΔΗΜΟΚΡΑΤΙΑΣ 2,82100,2271081101,2271081102,d.hiou@kep.gov.gr,
103,103,ΚΕΠ ΔΗΜΟΥ ΒΑΘΕΟΣ Ν. ΣΑΜΟΥ,ΒΑΘΥ,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΠΛΑΤΕΙΑ ΑΓ. ΣΠΥΡΙΔΩΝΟΣ -,83100,2273350133 2273350132,2273089850,d.vatheos@kep.gov.gr,
104,104,ΚΕΠ ΔΗΜΟΥ ΜΥΤΙΛΗΝΗΣ Ν. ΛΕΣΒΟΥ,ΜΥΤΙΛΗΝΗ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 3,81100,2251037625,2251029026,d.mytilinis@kep.gov.gr,
105,105,ΚΕΠ ΕΠΑΡΧΕΙΟΥ ΚΑΛΥΜΝΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΕΠΑΡΧΕΙΟ ΚΑΛΥΜΝΟΥ ΠΑΛΑΙΟ ΔΙΟΙΚΗΤΗΡΙΟ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΕΠΑΡΧΕΙΟ ΚΑΛΥΜΝΟΥ ΠΑΛΑΙΟ ΔΙΟΙΚΗΤΗΡΙΟ -,85200,2243059643 2243059644,2243029100,e.kalumnou@kep.gov.gr,
106,106,ΚΕΠ ΕΠΑΡΧΕΙΟΥ ΚΩ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΔΙΟΙΚΗΤΗΡΙΟ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΚΤΗ ΜΙΑΟΥΛΗ-ΔΙΟΙΚΗΤΗΡΙΟ 2,85300,2242049258,2242049260,e.ko@kep.gov.gr,
107,108,ΚΕΠ ΕΠΑΡΧΕΙΟΥ ΛΗΜΝΟΥ Ν. ΛΕΣΒΟΥ,ΜΥΡΙΝΑ-ΛΗΜΝΟΥ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΡΙΝΑ-ΛΗΜΝΟΥ -,81400,2254029110,2254023620,e.limnou@kep.gov.gr,
108,109,ΚΕΠ ΕΠΑΡΧΕΙΟΥ ΙΚΑΡΙΑΣ Ν. ΣΑΜΟΥ,ΕΠΑΡΧΕΙΟ ΙΚΑΡΙΑΣ ΣΑΜΟΥ,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΕΠΑΡΧΕΙΟ ΙΚΑΡΙΑΣ ΣΑΜΟΥ,83300,2275024023,2275024023,e.ikarias@kep.gov.gr,
109,115,ΚΕΠ ΕΠΑΡΧΕΙΟΥ ΠΑΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΠΑΡΟΙΚΙΑ-ΠΑΡΟΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΙΚΙΑ-ΠΑΡΟΣ,84400,2284024750,2284024751,e.parou@kep.gov.gr,
110,116,ΚΕΠ ΕΠΑΡΧΕΙΟΥ ΝΑΞΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΝΑΞΟΥ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΖΑΝΑΚΙΑ,84300,2285024303,2285026103,e.naxou@kep.gov.gr,
111,117,ΚΕΠ ΔΗΜΟΥ Ν ΕΡΥΘΡΑΙΑΣ Ν. ΑΤΤΙΚΗΣ,Νέα Ερυθραία Αττική,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΑΝΑΤΟΛΙΚΟΣ ΤΟΜΕΑΣ,ΑΤΤΙΚΗΣ,Ηρώων Πολυτεχνείου 26,14671,2106255980,2106255983,d.neaserythraias@kep.gov.gr,
112,118,ΚΕΠ ΔΗΜΟΥ ΚΑΛΥΒΙΩΝ N. ΑΤΤΙΚΗΣ,ΚΑΛΥΒΙΑ,ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,Κ. ΦΙΛΙΠΠΟΥ & Β. ΓΕΩΡΓΑΚΗ -,19010,2299047399,2299047499,d.kalivionthorikou@kep.gov.gr,
113,119,ΚΕΠ ΔΗΜΟΥ ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ (ΠΡΩΗΝ ΟΡΕΣΤΙΔΟΣ) Ν. ΚΑΣΤΟΡΙΑΣ,Άργος Ορεστικό Νομός Καστοριάς,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Μεγάλου Αλεξάνδρου 32,52200,2467044531,2467041237,d.orestidos@kep.gov.gr,
114,120,ΚΕΠ ΔΗΜΟΥ ΕΡΙΣΟΥ Ν. ΚΕΦΑΛΛΗΝΙΑΣ,Ερισός Κεφαλονιά,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ ΚΑΙ ΙΘΑΚΗΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Ερισός Κεφαλλονιά,28084,2674051186,2674051188,d.erisou@kep.gov.gr,
115,121,ΚΕΠ ΔΗΜΟΥ ΖΑΚΥΝΘΙΩΝ Ν. ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΣ,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Κ.ΛΟΜΒΑΡΔΟΥ 40,29100,2695024557,2695022143,d.zakinthion@kep.gov.gr,
116,123,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗ,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΔΗΜΟΚΡΑΤΙΑΣ 27,50100,2461067519,2461067115,n.kozanis-kozani@kep.gov.gr,
117,124,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ Ν.ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΑ,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΔΙΟΙΚΗΤΗΡΙΟ ΤΕΡΜΑ Κ. ΤΑΛΙΑΔΟΥΡΗ -,51100,2462076043,2462076045,n.grevenon@kep.gov.gr,
118,125,ΚΕΠ ΔΗΜΟΥ ΚΟΖΑΝΗΣ Ν. ΚΟΖΑΝΗΣ,Κοζάνη,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Βενιζέλου 29,50100,2461049838,2461049835,d.kozanis@kep.gov.gr,
119,126,"ΚΕΠ ΔΗΜΟΥ ΠΕΡΑΣΜΑΤΟΣ, Ν ΦΛΩΡΙΝΑΣ",Φλώρινα,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Δημαρχείο Περάσματος,53100,2385031203,2385031202,d.perasmatos@kep.gov.gr,
120,127,ΚΕΠ ΔΗΜΟΥ ΠΡΕΣΠΩΝ Ν. ΦΛΩΡΙΝΑΣ,ΔΗΜΟΥ ΠΡΕΣΠΩΝ Ν. ΦΛΩΡΙΝΑΣ,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΛΑΙΜΟΣ ΠΡΕΣΠΩΝ,53077,2385051845,2385051471,d.prespon@kep.gov.gr,
121,128,ΚΕΠ ΔΗΜΟΥ ΔΕΣΚΑΤΗΣ Ν. ΓΡΕΒΕΝΩΝ,Δεσκάτη Γρεβενά,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Δεσκάτη Γρεβενών,51200,2462036083,2462033001,d.deskatis@kep.gov.gr,
122,129,ΚΕΠ ΔΗΜΟΥ Ν ΜΑΚΡΗΣ Ν. ΑΤΤΙΚΗΣ,"Ν ΜΑΚΡΗΣ, Ν. ΑΤΤΙΚΗΣ",ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,Λ. Μαραθώνος 104,19005,2294092222,2294093777,d.neasmakris@kep.gov.gr,
123,130,"ΚΕΠ ΔΗΜΟΥ ΦΑΙΑΚΩΝ, Ν ΚΕΡΚΥΡΑΣ",ΥΨΟΣ,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Υψός,49083,2661080183,2661080185,d.faiakon@kep.gov.gr,
124,131,ΚΕΠ ΔΗΜΟΥ ΛΕΥΚΤΡΟΥ Ν. ΜΕΣΣΗΝΙΑΣ,Μεσσηνία,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Καρδαμύλη,24022,2721064112,2721064113,d.lefktrou@kep.gov.gr,
125,132,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ (ΜΕΣΟΛΟΓΓΙ),ΜΕΣΟΛΟΓΓΙ,ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΣΠΥΡΟΥ ΤΡΙΚΟΥΠΗ 4,30200,2631055416,2631051582,n.aitoloakarnania-mesologgi@kep.gov.gr,
126,133,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΦΘΙΩΤΙΔΑΣ,Λαμία,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,Πλατεία ΕλευΘερίας 13,35100,2231057162,2231039270,n.fthiotidos@kep.gov.gr,
127,134,ΚΕΠ ΔΗΜΟΥ ΑΠΟΔΟΤΙΑΣ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Άνω Χώρα Αιτωλοακαρνανίας,ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,Άνω Χώρα,30023,2634041697,2634041690,d.apodotias@kep.gov.gr,
128,135,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΝΤΙΚΥΡΑΣ Ν. ΒΟΙΩΤΙΑΣ,Αντίκυρα Βοιωτίας,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,25ης Μαρτίου Αντίκυρα,32012,2267041024,2267029315,k.antikyras@kep.gov.gr,
129,136,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΚΥΡΙΑΚΙΟΥ Ν. ΒΟΙΩΤΙΑΣ,ΚΥΡΙΑΚΙΟΥ,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,Γ. Σκόνδρα 9,32006,2267051800,2267051802,k.kyriakiou@kep.gov.gr,
130,137,"ΚΕΠ ΔΗΜΟΥ ΜΑΛΑΚΑΣΙΟΥ, Ν ΤΡΙΚΑΛΩΝ",Παναγία,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,Παναγία -,42200,2432350320 2432350370 2432350371,2432071774,d.malakasiou@kep.gov.gr,
131,138,ΚΕΠ ΔΗΜΟΥ ΣΚΟΠΕΛΟΥ Ν. ΜΑΓΝΗΣΙΑΣ,ΣΚΟΠΕΛΟΣ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,ΣΚΟΠΕΛΟΣ,37003,2424029064,2424024522,d.skopelou@kep.gov.gr,
132,139,ΚΕΠ ΔΗΜΟΥ ΠΡΟΣΟΤΣΑΝΗΣ Ν. ΔΡΑΜΑΣ,"Προσοτσάνη, Δράμα",ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΔΡΑΜΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,Βενιζέλου 8,66200,2522021010,2522021006,d.prosotsanis@kep.gov.gr,
133,140,ΚΕΠ ΔΗΜΟΥ ΚΑΛΑΜΠΑΚΙΟΥ Ν. ΔΡΑΜΑΣ,Δράμα,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΔΡΑΜΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,Κ. Καραμαλνή 15,66031,2521053508,2521053508,d.kalampakiou@kep.gov.gr,
